proficiency,lex_soph1,lex_soph2
2.6,2,2.900669883
38.88,4.833333,2.690467187
25.46,0,2.743975507
28.4,27,2.83234052
31.6,4.5,2.810965737
26.74,1.25,3.056282336
36.58,0.866667,2.815263185
37.85,2.833333,2.820839663
23.04,2.5,2.611468709
37.85,2.333333,2.899333729
25.85,4,2.833691673
19.97,9,3.007098015
30.83,4.4,2.722849607
23.04,4.2,2.824776528
38.37,6.333333,2.73448629
26.61,1.333333,2.851938551
24.57,1.363636,2.821497991
39.13,4,2.866704091
20.74,3.5,2.741231653
34.92,2,2.635922229
2.22,0,2.911641692
20.23,6.5,2.837863252
32.87,3.833333,2.772623872
28.02,1.333333,2.911818373
44.75,2.538462,2.677973909
36.45,4.142857,2.758082689
25.59,1.888889,2.854168547
39.64,2.75,2.683087204
22.91,4.75,2.884586092
32.36,11,2.782689837
33.26,2.142857,2.80894572
17.67,1.25,2.816830602
13.71,5,2.934648498
14.35,4.333333,3.10515073
51.27,4,2.610816197
17.29,7,2.9115744
31.21,8.333333,2.710092687
39.26,2.538462,2.872709779
36.07,3,2.763428905
27.38,9,2.868231826
39,1.727273,2.706606582
18.31,2.6,2.739233675
18.44,2.375,2.853283434
33,2.857143,2.772862494
35.43,1.909091,2.773674918
26.1,4.5,2.730185805
29.93,3,2.718002261
17.29,1.4,2.80299759
29.17,4.5,2.639022033
44.24,4.428571,2.742242776
35.3,2.875,2.727746441
23.29,13,2.795654438
31.72,3.833333,2.729319182
42.84,2.555556,2.68286211
39.26,10.333333,2.59442332
33.51,3,2.702422621
16.52,1,2.874472584
10.13,2,2.892558314
37.73,3.142857,2.66434524
32.23,2.75,2.759769718
34.15,2.25,2.913674733
35.81,8.333333,2.753926633
32.49,3.2,2.923570116
37.22,3.5,2.660712746
33.89,7.333333,2.802423405
38.88,3.444444,2.803281511
19.59,6.5,2.847871226
36.32,3,2.807769756
35.94,1.888889,2.68390305
39.26,12,2.748337618
22.14,2.333333,2.834304878
34.41,5.4,2.762904011
33.89,2.75,2.616638317
35.04,5.25,2.963099698
32.36,3.142857,2.696254973
40.15,6.4,2.785906082
38.75,2.857143,2.665800945
33.77,0.875,2.667927077
20.99,0.888889,2.773987978
30.45,8,2.664612877
38.49,2.8,2.589057046
31.72,2.857143,2.800369492
32.36,3.333333,2.799336766
35.94,3.571429,2.746879833
27.89,5.5,2.732463486
34.79,3,2.787136094
38.75,5.75,2.818846731
46.03,1.8,2.733184671
40.15,2.272727,2.684499616
31.85,2.714286,2.604027723
34.92,5.666667,2.785330179
35.68,14,2.74293217
34.79,3,2.652188839
33.51,1.222222,2.809006381
34.02,3.285714,2.776160911
35.94,3.333333,2.749713741
30.7,3.8,2.742241364
35.43,3.444444,2.792655879
33.89,4.428571,2.718086167
45.77,1.769231,2.522065468
36.96,2.714286,2.756422615
33,3.285714,2.676537898
20.61,14,2.744223337
49.73,4,2.6689321
35.17,4,2.78790261
26.87,3.833333,2.880258737
35.56,10.333333,2.782091873
46.92,2.666667,2.706858487
32.75,2.625,2.763386139
36.96,6.75,2.679377273
43.48,3.111111,2.685009177
60.72,4.875,2.618699473
34.92,6.5,2.638853082
53.57,4.333333,2.716127364
46.92,2.888889,2.70853592
36.71,3.571429,2.90070909
48.58,4.6,2.524051867
41.43,4.6,2.724163319
53.18,6.333333,2.695917171
25.72,4.8,2.806520857
36.83,2.285714,2.58700417
37.09,3.166667,2.628865446
33.89,6,2.781394998
33.64,5,2.769714098
26.87,2,2.579762341
49.61,2.428571,2.826841032
43.22,3.25,2.641561377
43.6,4.8,2.548605505
40.03,3.8,2.51973292
37.73,4.6,2.768484045
36.58,6,2.580483215
31.21,3.4,2.684655874
46.8,6.8,2.575857843
44.5,3.857143,2.545973326
64.42,7.2,2.74206315
37.73,3.142857,2.698456021
34.79,3.6,2.605031965
28.91,4.666667,2.752214328
32.23,7,2.765854328
39.52,5.333333,2.770656509
36.19,2.5,2.765091125
42.58,2.363636,2.657259566
45.26,2.076923,2.728072829
42.71,6.2,2.604162579
27.12,3.4,2.773122984
38.24,3.666667,2.796156526
33,2.142857,2.623000325
58.55,5.111111,2.559629889
41.18,3.9,2.706941427
50.25,8,2.708495166
34.15,4.4,2.764321905
31.85,7,2.659769813
45.65,6.2,2.698139178
33.26,3.333333,2.671829585
51.4,2.461538,2.577484886
64.94,3.636364,2.68935033
42.45,2.625,2.655008888
47.44,4.571429,2.536256484
42.2,13.5,2.669174932
47.69,4.285714,2.578606034
41.56,1.5,2.851915855
52.03,2.888889,2.683393467
43.99,11.333333,2.727654028
50.37,6.2,2.621158772
48.33,8,2.575448529
37.09,1.4,2.484495297
46.16,3.833333,2.666812497
51.14,1.916667,2.487624818
37.47,5,2.793607244
56.12,2.357143,2.655982847
36.45,4.666667,2.730752383
65.7,5.857143,2.562312127
30.57,3.4,2.669029581
46.03,7.25,2.542873313
37.73,0,2.627385062
51.78,4.666667,2.550403287
35.68,4.428571,2.765649519
35.3,8.6,2.874652306
36.19,5.75,2.598542981
58.42,3.4,2.562373605
41.05,3.714286,2.741361226
32.49,1.454545,2.858364121
40.92,6.666667,2.586802193
28.27,3.5,2.651418206
36.96,8.333333,2.633778385
45.26,4.142857,2.590797094
53.95,6.5,2.622162749
24.95,3.166667,2.718885132
12.69,3,2.905339259
26.74,3.2,2.774810204
40.28,2.666667,2.749167995
33.26,4,2.767854329
52.54,13,2.683050425
40.03,2.428571,2.728455038
