Participant,Nationality,VST,Proficiency_CEFR,Proficiency_Number
CHN_001,CHN,30,B1_1,2
CHN_010,CHN,33,B1_1,2
CHN_012,CHN,35,B1_1,2
CHN_013,CHN,39,B1_2,3
CHN_014,CHN,39,B1_2,3
CHN_016,CHN,39,B1_2,3
CHN_018,CHN,39,B1_2,3
CHN_020,CHN,25,B1_1,2
CHN_022,CHN,21,A2_0,1
CHN_026,CHN,16,A2_0,1
CHN_027,CHN,28,B1_1,2
CHN_029,CHN,28,B1_1,2
CHN_034,CHN,34,B1_1,2
CHN_035,CHN,29,B1_1,2
CHN_041,CHN,15,A2_0,1
CHN_048,CHN,31,B1_1,2
CHN_060,CHN,25,B1_1,2
CHN_061,CHN,19,A2_0,1
CHN_063,CHN,35,B1_1,2
CHN_064,CHN,24,A2_0,1
CHN_072,CHN,23,A2_0,1
CHN_076,CHN,30,B1_1,2
CHN_077,CHN,34,B1_1,2
CHN_082,CHN,26,B1_1,2
CHN_084,CHN,38,B1_2,3
CHN_086,CHN,26,B1_1,2
CHN_088,CHN,28,B1_1,2
CHN_090,CHN,27,B1_1,2
CHN_091,CHN,26,B1_1,2
CHN_092,CHN,23,A2_0,1
CHN_095,CHN,29,B1_1,2
CHN_097,CHN,21,A2_0,1
CHN_099,CHN,24,A2_0,1
CHN_100,CHN,33,B1_1,2
CHN_101,CHN,35,B1_1,2
CHN_104,CHN,28,B1_1,2
CHN_105,CHN,31,B1_1,2
CHN_113,CHN,30,B1_1,2
CHN_117,CHN,22,A2_0,1
CHN_122,CHN,32,B1_1,2
CHN_128,CHN,29,B1_1,2
CHN_131,CHN,29,B1_1,2
CHN_132,CHN,26,B1_1,2
CHN_138,CHN,29,B1_1,2
CHN_140,CHN,21,A2_0,1
CHN_142,CHN,28,B1_1,2
CHN_143,CHN,28,B1_1,2
CHN_144,CHN,32,B1_1,2
CHN_145,CHN,28,B1_1,2
CHN_155,CHN,33,B1_1,2
CHN_157,CHN,32,B1_1,2
CHN_158,CHN,44,B1_2,3
CHN_160,CHN,35,B2_0,4
CHN_162,CHN,33,B1_1,2
CHN_164,CHN,30,B1_1,2
CHN_174,CHN,35,B1_1,2
CHN_177,CHN,36,B1_2,3
CHN_187,CHN,35,B1_1,2
CHN_191,CHN,26,B1_1,2
CHN_228,CHN,43,B2_0,4
CHN_232,CHN,38,B1_1,2
CHN_277,CHN,32,B2_0,4
CHN_353,CHN,38,B2_0,4
HKG_003,HKG,43,B1_2,3
HKG_005,HKG,30,B1_1,2
HKG_015,HKG,39,B2_0,4
HKG_027,HKG,33,B2_0,4
HKG_045,HKG,39,B2_0,4
HKG_061,HKG,44,B2_0,4
HKG_065,HKG,44,B2_0,4
HKG_071,HKG,43,B1_2,3
HKG_094,HKG,39,B1_2,3
HKG_097,HKG,30,B1_1,2
IDN_001,IDN,33,B1_1,2
IDN_008,IDN,38,A2_0,1
IDN_059,IDN,33,B1_1,2
IDN_081,IDN,45,B1_1,2
IDN_095,IDN,46,A2_0,1
IDN_161,IDN,38,B2_0,4
IDN_167,IDN,44,A2_0,1
IDN_182,IDN,45,A2_0,1
IDN_191,IDN,40,A2_0,1
IDN_193,IDN,41,A2_0,1
JPN_002,JPN,33,B1_2,3
JPN_003,JPN,34,A2_0,1
JPN_004,JPN,40,B2_0,4
JPN_009,JPN,35,B2_0,4
JPN_014,JPN,37,B1_1,2
JPN_016,JPN,34,B1_2,3
JPN_019,JPN,39,B1_2,3
JPN_021,JPN,25,B1_2,3
JPN_024,JPN,33,B1_1,2
JPN_026,JPN,35,B1_1,2
JPN_031,JPN,44,B1_2,3
JPN_032,JPN,36,B1_1,2
JPN_041,JPN,40,B2_0,4
JPN_044,JPN,32,B1_1,2
JPN_046,JPN,30,B1_1,2
JPN_049,JPN,33,B1_2,3
JPN_057,JPN,34,B1_1,2
JPN_058,JPN,36,B1_2,3
JPN_067,JPN,30,B1_2,3
JPN_069,JPN,32,B2_0,4
JPN_070,JPN,28,A2_0,1
JPN_073,JPN,28,B1_2,3
JPN_075,JPN,23,A2_0,1
JPN_083,JPN,33,A2_0,1
JPN_089,JPN,28,A2_0,1
JPN_093,JPN,31,A2_0,1
JPN_098,JPN,24,A2_0,1
JPN_099,JPN,25,A2_0,1
JPN_100,JPN,15,A2_0,1
JPN_102,JPN,20,A2_0,1
JPN_106,JPN,20,A2_0,1
JPN_108,JPN,20,A2_0,1
JPN_109,JPN,20,A2_0,1
JPN_111,JPN,20,A2_0,1
JPN_113,JPN,20,B1_1,2
JPN_116,JPN,20,A2_0,1
JPN_118,JPN,20,A2_0,1
JPN_119,JPN,20,A2_0,1
JPN_122,JPN,23,B1_1,2
JPN_123,JPN,23,B1_1,2
JPN_124,JPN,20,A2_0,1
JPN_128,JPN,24,B1_1,2
JPN_130,JPN,20,A2_0,1
JPN_134,JPN,29,A2_0,1
JPN_135,JPN,23,A2_0,1
JPN_137,JPN,32,B1_2,3
JPN_138,JPN,25,B1_1,2
JPN_142,JPN,33,B1_1,2
JPN_146,JPN,31,A2_0,1
JPN_149,JPN,26,B1_1,2
JPN_151,JPN,24,A2_0,1
JPN_161,JPN,21,A2_0,1
JPN_163,JPN,23,A2_0,1
JPN_164,JPN,19,B1_1,2
JPN_167,JPN,26,A2_0,1
JPN_168,JPN,21,B1_2,3
JPN_170,JPN,22,B1_2,3
JPN_171,JPN,20,B1_1,2
JPN_172,JPN,26,B1_1,2
JPN_173,JPN,23,B1_1,2
JPN_175,JPN,19,B1_1,2
JPN_177,JPN,29,B1_2,3
JPN_178,JPN,24,B1_1,2
JPN_181,JPN,24,A2_0,1
JPN_183,JPN,22,A2_0,1
JPN_184,JPN,18,A2_0,1
JPN_192,JPN,21,A2_0,1
JPN_195,JPN,30,B1_1,2
JPN_200,JPN,25,B1_1,2
JPN_206,JPN,17,A2_0,1
JPN_214,JPN,23,A2_0,1
JPN_215,JPN,21,B1_1,2
JPN_216,JPN,31,B1_2,3
JPN_218,JPN,28,B1_2,3
JPN_223,JPN,22,B1_1,2
JPN_225,JPN,21,B1_1,2
JPN_226,JPN,22,A2_0,1
JPN_228,JPN,20,A2_0,1
JPN_232,JPN,27,B1_1,2
JPN_235,JPN,21,B1_1,2
JPN_239,JPN,21,A2_0,1
JPN_242,JPN,21,A2_0,1
JPN_243,JPN,22,B1_1,2
JPN_250,JPN,23,B1_1,2
JPN_256,JPN,26,B1_2,3
JPN_260,JPN,28,B1_1,2
JPN_261,JPN,25,A2_0,1
JPN_264,JPN,26,B1_1,2
JPN_267,JPN,25,B1_1,2
JPN_270,JPN,16,A2_0,1
JPN_274,JPN,11,A2_0,1
JPN_278,JPN,20,A2_0,1
JPN_281,JPN,44,B1_1,2
JPN_284,JPN,40,A2_0,1
JPN_287,JPN,42,A2_0,1
JPN_288,JPN,40,A2_0,1
JPN_289,JPN,44,A2_0,1
JPN_290,JPN,40,B1_1,2
JPN_291,JPN,40,A2_0,1
JPN_298,JPN,46,B1_2,3
JPN_301,JPN,38,A2_0,1
