filenames,Proficiency,Frequent_Trigram_Proportion,Meaningfulness_AW,Register_Range_CW,L1_Word_Reaction_Time,Concreteness_AW
1.txt,Beginner,0.175439,384.067416,13.938776,607.85375,2.631579
10.txt,High,0.269504,373.747826,12.5,607.888201,2.495139
100.txt,Int,0.251397,357.123288,13.608247,619.44483,2.525914
101.txt,Int,0.214876,385.509804,13.594595,605.690583,2.733065
102.txt,Int,0.263158,359.741936,14.253521,604.148014,2.475195
103.txt,High,0.348993,378.377953,14.09589,608.156711,2.438684
104.txt,High,0.101852,394.111111,14,621.425909,2.929138
105.txt,High,0.109375,375.886364,12.443038,623.230556,2.554925
106.txt,High,0.283333,354.3,13.828125,619.677931,2.445
107.txt,High,0.286667,372.895652,14.103448,617.767114,2.4276
108.txt,Int,0.18239,380.824,13.273684,619.420662,2.755256
109.txt,Int,0.164835,345.953488,12.918367,624.753315,2.432688
11.txt,Int,0.29697,375.16129,14.55,594.291173,2.575
110.txt,Int,0.157895,377.677419,12.986842,613.59302,2.648875
111.txt,High,0.246667,369.208,14.077778,610.313333,2.53
112.txt,Int,0.095588,392.849057,13,609.384597,2.737794
113.txt,Int,0.269565,385.866667,14.360656,612.423604,2.471053
114.txt,High,0.326087,367.567797,14.105263,611.914,2.431408
115.txt,Beginner,0.212389,371.09375,13.883333,609.086396,2.571379
116.txt,Int,0.236264,382.673333,13.131313,611.253315,2.567917
117.txt,Beginner,0.11,349.323944,12.958333,619.789375,2.51566
118.txt,Int,0.104895,383.256637,13.337209,618.337914,2.954247
119.txt,Beginner,0.192708,373.242424,12.732759,600.616,2.664184
12.txt,Int,0.120968,377.228916,13.6,621.81541,2.528254
120.txt,Int,0.166667,392.419048,13.130435,628.741181,2.771212
121.txt,Int,0.128205,368.976471,13.769231,626.936552,2.355246
122.txt,Int,0.163522,380.416,13.912088,620.2425,2.791829
123.txt,Int,0.115385,397.077922,14.09375,607.279081,2.979167
124.txt,High,0.217391,344.284553,12.631579,622.128813,2.246024
125.txt,Int,0.297297,374.285714,14.481928,607.442635,2.273896
126.txt,High,0.285714,379.19469,13.894118,617.904658,2.384079
127.txt,Int,0.134078,380.273381,14.225806,617.688706,2.465402
128.txt,Beginner,0.159091,416.057851,14.855422,605.689313,2.950588
129.txt,Beginner,0.19186,386.348387,14.357895,605.151716,2.562874
13.txt,Beginner,0.176471,385.425,13.424242,613.758628,2.736154
130.txt,Int,0.230769,392.754098,13.506849,621.29331,2.608472
131.txt,Int,0.108911,394.465753,13.290323,610.100989,2.846735
132.txt,Int,0.198795,369.610687,12.904255,616.750494,2.599647
133.txt,Int,0.242647,351.943925,14.287671,608.971618,2.26029
134.txt,Beginner,0.1,390.839081,13.411765,606.503814,2.787
135.txt,Int,0.145455,361.560976,13.583333,616.957103,2.349273
136.txt,High,0.2,376.211539,12.581081,633.191716,2.839254
137.txt,High,0.179104,381.14433,12.768116,617.444496,2.888507
138.txt,Beginner,0.170213,431.101695,12.821429,610.874493,2.850429
139.txt,Beginner,0.156069,362.070866,13.150943,628.148,2.543146
14.txt,Int,0.16,360.54321,13.385965,622.024753,2.280769
140.txt,Beginner,0.048,404.506849,13.098361,622.238778,3.064151
141.txt,Beginner,0.153846,394.219512,13.381818,600.98898,3.147692
142.txt,Int,0.12069,395.094737,13,608.668173,2.871897
143.txt,High,0.208955,382.990826,12.615385,614.131163,2.721194
144.txt,Int,0.236686,403.5,14.245098,600.661737,2.767586
145.txt,High,0.286885,371.755102,13.532258,617.858435,2.618548
146.txt,Int,0.216049,393.972222,13.444444,609.910125,2.768193
147.txt,Int,0.307692,370.90625,14.125,624.615172,2.528689
148.txt,High,0.281437,360.8,13.42268,620.963432,2.511379
149.txt,Beginner,0.170455,393.496504,13.398148,604.998851,3.005281
15.txt,High,0.21875,380.822917,13.140625,614.033226,2.540769
150.txt,Int,0.134454,383.231579,12.383333,618.667863,2.98371
