Country,Outcome
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,Exempt
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,One_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Saudi_Arabia,Two_Year
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,One_Year
Germany,Two_Year
Germany,Two_Year
Germany,Two_Year
Germany,Two_Year
Germany,Two_Year
Germany,Two_Year
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,One_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
Korea,Two_Year
