Country,Outcome
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Germany,Not Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
Korea,Not Exempt
