lemma,acad_freq,mag_freq
be,1285658,1685537
have,205542,322017
use,123168,100086
make,108390,188800
see,81366,106260
do,78073,159511
provide,70883,29334
take,70041,122535
find,67101,84151
say,66485,319817
become,58978,58301
give,55074,69738
include,49175,27624
know,45447,99190
show,44822,39409
come,42359,93949
need,41475,58052
go,41391,137781
develop,38254,18375
work,37162,64666
suggest,36252,17392
require,34992,19684
begin,34056,45151
help,33258,51200
write,33059,31590
think,33031,76094
create,32918,31651
consider,32180,20776
seem,31115,38898
report,30537,11183
call,29417,57196
indicate,28783,6068
involve,28511,13381
base,28353,11858
get,28061,143963
lead,27874,23254
allow,27850,24514
describe,27497,11367
learn,27464,26739
identify,27388,7532
ask,26579,43413
understand,26148,16347
increase,25869,13115
appear,25783,19607
receive,24476,15361
want,24385,78145
continue,24321,20436
remain,24262,18049
support,23959,11723
represent,23688,8319
determine,23424,9091
produce,23061,19539
leave,22896,49204
mean,22876,30126
offer,22762,28312
believe,22385,25735
look,22097,69556
hold,21886,30624
present,21682,6285
serve,21648,27289
follow,21411,19152
feel,21313,49341
occur,21313,8902
bring,21112,32524
note,20680,11305
examine,20036,3622
play,19442,33874
focus,19317,9539
tell,19261,56237
reduce,19242,15596
establish,19221,7853
live,18987,32751
compare,18986,8918
change,18716,22391
meet,18448,20394
seek,18388,10152
associate,18270,3874
explain,18243,19414
result,18128,5852
argue,17981,7644
try,17904,49949
read,17878,18447
teach,17580,11539
reflect,17496,6794
keep,17478,55448
move,17429,30795
address,16652,4353
affect,16484,7199
set,16442,28881
put,16414,42427
define,16305,4834
recognize,15969,7769
discuss,15802,5328
conduct,15802,4845
improve,15684,9729
apply,15592,10077
expect,15373,16178
demonstrate,15371,4208
maintain,15334,9256
reveal,15170,8750
achieve,15080,6593
build,14907,26007
perform,14666,7930
exist,14571,6759
turn,14518,41048
design,14459,11832
add,14430,41121
relate,14266,3126
cause,14217,17143
contain,13812,11785
choose,13754,15805
measure,13140,6188
speak,13075,14302
assess,12911,1672
obtain,12820,3008
refer,12670,5320
experience,12656,6351
place,12625,9327
observe,12566,6275
reach,12552,17418
start,12250,41914
draw,12210,12796
engage,12138,4457
participate,12111,3090
promote,12061,5281
complete,12015,5300
express,11912,4926
encourage,11910,7334
contribute,11891,4842
tend,11883,9401
grow,11853,27592
lose,11853,25577
pay,11727,25742
carry,11709,15957
accept,11707,8363
assume,11476,6091
influence,11386,2893
raise,11303,16133
study,11292,8425
share,11268,11483
form,11124,10303
fail,11084,8909
face,10987,12470
agree,10984,10724
respond,10914,6761
view,10831,4898
enter,10728,9789
run,10687,36148
control,10406,7375
limit,10324,5223
concern,10211,4003
publish,9974,7455
spend,9969,25714
return,9914,13017
explore,9900,5218
evaluate,9822,1951
protect,9816,11205
happen,9791,23412
state,9774,2610
implement,9458,1632
deal,9405,7656
prepare,9396,10214
avoid,9382,11542
ensure,9360,4609
generate,9356,5047
emerge,9329,5271
send,9303,18268
pass,9270,16369
fall,9251,17187
emphasize,9230,2734
regard,9221,3061
prevent,9139,10386
let,9101,33215
claim,9030,8147
act,9020,7409
point,8929,9860
collect,8929,5524
hear,8843,21192
decide,8829,15737
stand,8741,21465
bear,8696,12157
consist,8678,2946
attempt,8645,3591
employ,8503,3485
analyze,8469,2192
select,8467,3623
depend,8424,5676
