Score,pass.fail,Prompt,nwords,frequency_AW,frequency_CW,frequency_FW,bigram_frequency
1,fail,p1,64,3.236761766,2.776596674,3.711770894,1.427369142
3,fail,p1,348,3.114916671,2.645425102,3.757554066,1.37911665
2.5,fail,p1,243,3.362191939,2.597584188,4.154353121,1.589126846
3,fail,p1,266,3.289382572,2.813823189,3.817781887,1.591812789
3,fail,p1,291,3.262984905,2.818148652,3.83117911,1.416318531
2,fail,p1,253,3.297023743,2.961373522,3.656023546,1.391610307
2,fail,p1,330,3.237039689,2.798978073,3.927424794,1.477393208
2,fail,p1,340,3.325238039,2.909976907,3.785179165,1.58518458
2.5,fail,p1,224,2.963205704,2.541529068,3.598323599,1.524059971
3,fail,p1,340,3.345066215,2.856045579,3.845799919,1.481173009
2.5,fail,p1,246,3.259055937,2.810261017,3.769050165,1.427189566
2,fail,p1,200,3.356857532,2.760103224,3.929500554,1.52958901
2.5,fail,p1,285,3.214981863,2.686909414,3.83242042,1.453025713
2.5,fail,p1,224,3.095060697,2.690831493,3.642726071,1.329571592
3,fail,p1,344,3.321585988,2.843198626,3.808778026,1.509195114
2.5,fail,p1,252,3.164025028,2.781961394,3.630991691,1.323352025
2.5,fail,p1,236,3.254692469,2.706762746,3.939604622,1.458140163
3,fail,p1,350,3.303758426,2.908980683,3.726903431,1.571390962
2,fail,p1,206,3.15569561,2.723179349,3.664803293,1.475418451
3,fail,p1,317,3.229173387,2.579074434,4.045255052,1.429429462
1.5,fail,p1,61,3.30821408,2.929935297,3.891393871,1.751424783
2.5,fail,p1,202,3.148350526,2.683107913,3.757978779,1.425595673
3,fail,p1,301,3.316203405,2.812159673,3.83046424,1.585566355
2,fail,p1,263,3.339430646,2.89175213,3.802680589,1.473395219
3,fail,p1,394,3.176476565,2.684504386,3.853311018,1.421974231
3,fail,p1,329,3.284173175,2.941721973,3.763108551,1.531162344
1.5,fail,p1,244,3.291458341,2.789838658,3.98441749,1.525851543
2.5,fail,p1,354,3.182092216,2.725025358,3.723801085,1.419217584
2.5,fail,p1,223,3.323864844,2.838805653,3.974050569,1.611697004
3,fail,p1,297,3.219091526,2.755838342,3.742334332,1.372859312
2,fail,p1,304,3.293812458,2.775377028,3.843988834,1.442281426
2,fail,p1,182,3.214605947,2.711476288,3.669045639,1.451401528
1.5,fail,p1,151,3.318069053,2.820096449,3.837082753,1.416106487
2,fail,p1,156,3.369686528,2.913017703,3.764643349,1.501923917
2.5,fail,p1,445,3.19532283,2.687321869,3.859001504,1.379695039
2,fail,p1,179,3.264497572,2.835359632,3.745338879,1.430582567
3.5,pass,p1,288,3.238037534,2.720413487,3.824170646,1.566323594
4,pass,p1,351,3.424020639,3.095194958,3.760405531,1.631510268
2.5,fail,p1,326,3.230424163,2.717935365,3.856013937,1.486351715
2.5,fail,p1,258,3.342900077,2.880328718,3.974072212,1.670855483
2,fail,p1,349,3.278406939,2.723783067,3.96793932,1.520892098
2.5,fail,p1,187,3.20805234,2.671937637,3.84628413,1.36399087
2,fail,p1,188,3.202798671,2.747378276,3.713758138,1.477333447
2.5,fail,p1,302,3.275056,2.886211341,3.751609981,1.496712549
2.5,fail,p1,321,3.093063784,2.646402056,3.657594579,1.239618059
3,fail,p1,248,3.091464512,2.617409875,3.696448525,1.353692907
3,fail,p1,278,3.282550157,2.683014821,3.974696644,1.608278904
2,fail,p1,179,3.226710224,2.574570807,3.967411784,1.487204972
3,fail,p1,272,3.097564611,2.602624838,3.662653329,1.28035259
3.5,pass,p1,390,3.275649711,2.77603522,3.902333784,1.557565137
3,fail,p1,320,3.262955146,2.76435909,3.871171612,1.49993703
3,fail,p1,226,3.150827537,2.716145319,3.761232355,1.491926772
3.5,pass,p1,292,3.171093165,2.689279427,3.76122162,1.377008617
5,pass,p1,379,3.324958217,2.737106642,4.085919459,1.546446429
3.5,pass,p1,351,3.188268179,2.678185845,3.770769611,1.541739147
4,pass,p1,306,3.161132066,2.659956515,3.700327831,1.375278786
2,fail,p1,173,3.259301051,2.682904476,4.052890539,1.483363561
2,fail,p1,123,3.20049273,2.759411986,3.663627512,1.445821102
3,fail,p1,339,3.223486752,2.675532923,3.838609114,1.418510403
3,fail,p1,296,3.30621694,2.809302362,4.068723793,1.560068642
3,fail,p1,311,3.298625185,2.888928067,3.779061373,1.499462622
3,fail,p1,324,3.318969034,2.898703173,3.911161837,1.538402848
3,fail,p1,298,3.368666857,2.909060696,3.809888771,1.554800145
3,fail,p1,335,3.215196384,2.709876046,3.913192821,1.556590438
3,fail,p1,309,3.339056352,2.904735936,3.9043116,1.535663459
3,fail,p1,348,3.253673442,2.88964492,3.661202227,1.4345122
2.5,fail,p1,197,3.145232128,2.702267166,3.748771889,1.444396403
3,fail,p1,328,3.250219203,2.821631758,3.870372247,1.473821067
4.5,pass,p1,325,3.20584401,2.651326523,3.781689093,1.434035874
3.5,pass,p1,351,3.282937274,2.655544965,3.962302911,1.52455628
3,fail,p1,217,3.301904988,2.802864633,3.851353461,1.47184137
3,fail,p1,313,3.191758094,2.751564814,3.838073626,1.472204406
3,fail,p1,309,3.106667923,2.657604947,3.816724764,1.350366215
3.5,pass,p1,318,3.450407343,3.048629761,4.02575284,1.665230026
3,fail,p1,297,3.235234921,2.784962046,3.754527725,1.515420641
2.5,fail,p1,358,3.30625729,2.888710968,3.793826908,1.526696361
3,fail,p1,347,3.211265374,2.665015673,3.849144056,1.498298415
3,fail,p1,308,3.175285401,2.696733505,3.650749866,1.326574353
2.5,fail,p1,208,3.080710408,2.690976045,3.696586932,1.331329283
3.5,pass,p1,282,3.197042719,2.65675565,3.92505665,1.509569738
3.5,pass,p1,345,3.331410667,2.710475681,3.978064853,1.535095942
3,fail,p1,292,3.226955979,2.830109588,3.732315054,1.435323998
3,fail,p1,297,3.249592044,2.800525423,3.747826543,1.458248699
3,fail,p1,325,3.319920754,2.763424112,3.947859533,1.55137527
2.5,fail,p1,262,3.295188777,2.848220373,3.852910415,1.583593899
3,fail,p1,316,3.125665289,2.722860102,3.686494051,1.415401736
3.5,pass,p1,347,3.266834614,2.783340818,3.950888799,1.48173071
4,pass,p1,404,3.265420921,2.798349554,3.802804108,1.512896595
3.5,pass,p1,358,3.167480752,2.753853773,3.72268475,1.371776083
2.5,fail,p1,293,3.261044897,2.714955502,3.917198821,1.573322419
3.5,pass,p1,317,3.233883578,2.769708397,3.843546503,1.323861714
3,fail,p1,323,3.220163137,2.720736778,3.94413778,1.447446977
3,fail,p1,316,3.241990151,2.745802973,3.870255931,1.459008454
3,fail,p1,306,3.299711649,2.77981188,3.869307719,1.468277391
3,fail,p1,310,3.283049812,2.838789935,3.772952828,1.558927769
3,fail,p1,325,3.237052864,2.776003836,3.900963464,1.498347251
2.5,fail,p1,284,3.279238267,2.774185702,3.818726233,1.558188418
3,fail,p1,321,3.278143889,2.775120534,3.868497687,1.479220958
3,fail,p1,309,3.211159056,2.693501138,3.769417593,1.573119633
3.5,pass,p1,402,3.174462249,2.693050436,3.868522225,1.387081317
4,pass,p1,333,3.304339126,2.816955584,3.847601037,1.608331519
3.5,pass,p1,302,3.190090753,2.66026891,3.907388017,1.422167184
3.5,pass,p1,205,3.1766223,2.616396479,3.982800921,1.524450459
4.5,pass,p1,433,3.201878148,2.693869304,3.866408637,1.455659886
3,fail,p1,319,3.278783463,2.784206167,3.824173494,1.485651152
3,fail,p1,254,3.267886513,2.842577685,3.731231091,1.50615835
4.5,pass,p1,322,3.332664292,2.771890208,3.956992773,1.594557017
3.5,pass,p1,411,3.346353393,2.888163446,3.887850603,1.59253426
4,pass,p1,300,3.3634309,2.890293098,4.07114963,1.617870349
4,pass,p1,333,3.159762991,2.636186984,3.754735726,1.336975958
4.5,pass,p1,384,3.189936727,2.787728224,3.727830025,1.508400697
4,pass,p1,519,3.231589121,2.658299668,3.864102692,1.506411586
4.5,pass,p1,317,3.240738618,2.755358878,3.823194307,1.485756235
4,pass,p1,463,3.308569743,2.727991364,3.904426501,1.604860448
4,pass,p1,411,3.308540932,2.709652703,4.034367426,1.521558747
3,fail,p1,331,3.26705963,2.877302092,3.69984235,1.485794677
4.5,pass,p1,424,3.161306724,2.566443751,3.822265583,1.370153437
4,pass,p1,368,3.314190018,2.756325579,3.917199557,1.504761494
3.5,pass,p1,460,3.239323948,2.812943536,3.793178917,1.478396665
3,fail,p1,245,3.371241435,2.84261857,3.926077005,1.608515948
3.5,pass,p1,332,3.247769288,2.630013782,4.014638192,1.610227739
4,pass,p1,334,3.27251814,2.655143114,3.901468948,1.565406245
3.5,pass,p1,309,3.266057109,2.75489267,3.988875574,1.459202711
3.5,pass,p1,307,3.243207606,2.711158697,3.963519976,1.41325537
4,pass,p1,254,3.110459355,2.474048855,3.975017016,1.473656259
3.5,pass,p1,432,3.284453448,2.817293363,3.790735314,1.458482772
4,pass,p1,382,3.164721247,2.654271995,3.83411278,1.472723569
4,pass,p1,385,3.116715753,2.587695239,3.853326595,1.480751169
3.5,pass,p1,357,3.136565849,2.57067953,3.821218432,1.460258136
4,pass,p1,339,3.293517396,2.862310049,3.794725937,1.534360782
3.5,pass,p1,330,3.090875915,2.579889984,3.865338965,1.388215359
4,pass,p1,288,3.241791205,2.706114683,3.918886328,1.41624735
3.5,pass,p1,410,3.104017304,2.562247709,3.900154331,1.420520668
4.5,pass,p1,392,3.172828382,2.630671766,3.923252478,1.44052712
4,pass,p1,548,3.236642136,2.756949084,3.815037463,1.448734075
3.5,pass,p1,339,3.258523485,2.674027333,3.795991212,1.44074265
4,pass,p1,316,3.093792953,2.525182526,3.806616169,1.355556647
3,fail,p1,270,3.285541185,2.725417156,3.935096781,1.581396891
3.5,pass,p1,296,3.203880418,2.727212466,3.833082116,1.41434232
3.5,pass,p1,353,3.294243742,2.806919255,3.862788976,1.656432726
3.5,pass,p1,327,3.243689575,2.80430992,3.715218961,1.501857419
4,pass,p1,377,3.15973179,2.726812778,3.875122782,1.411364954
4,pass,p1,398,3.284469362,2.767120882,3.921655626,1.476051053
4,pass,p1,378,3.214097091,2.586783405,3.869137349,1.395126443
4,pass,p1,256,3.265129541,2.806295318,3.788428077,1.530031822
4.5,pass,p1,343,3.225592586,2.849918272,3.787732982,1.374173233
4.5,pass,p1,302,3.178771113,2.648726526,3.908601737,1.40306056
5,pass,p1,502,3.166329171,2.658888854,3.781544423,1.457776791
4.5,pass,p1,366,3.188119851,2.81369555,3.684997382,1.436489677
5,pass,p1,437,3.221381742,2.634564511,3.971033073,1.51601245
4,pass,p1,311,3.155571937,2.754184217,3.660257966,1.325719401
4,pass,p1,293,3.141605055,2.659906124,3.816773229,1.413466501
4,pass,p1,401,3.238238211,2.755133015,3.955486415,1.520112659
4,pass,p1,304,3.122578219,2.616535442,3.871186956,1.45938464
4.5,pass,p1,446,3.216666514,2.614858504,3.863893996,1.400677331
4.5,pass,p1,552,3.281251638,2.840818273,3.781666201,1.537661898
4.5,pass,p1,376,3.254032102,2.73739866,3.919633469,1.616573118
4.5,pass,p1,415,3.11518891,2.558344183,3.948768593,1.426332829
5,pass,p1,374,3.249501621,2.690185107,3.910214696,1.493164628
5,pass,p1,417,3.217264814,2.63078235,3.981960181,1.461870482
4.5,pass,p1,369,3.359650243,2.983492598,3.798129865,1.599622933
4.5,pass,p1,451,3.226717793,2.759693249,3.90159392,1.403873207
4.5,pass,p1,388,3.298418651,2.827056518,3.915474535,1.512546017
4.5,pass,p1,438,3.26078766,2.677111018,3.941743742,1.54595953
4.5,pass,p1,422,3.156136873,2.691701227,3.791127982,1.506444188
4.5,pass,p1,334,3.133023426,2.61588691,3.767853079,1.428755435
4.5,pass,p1,405,3.182613663,2.69625822,3.856028892,1.426916759
5,pass,p1,444,3.198540307,2.591487751,3.99729367,1.437459411
4.5,pass,p1,337,3.319961637,2.777399096,3.885682336,1.538522017
5,pass,p1,483,3.163125376,2.655999219,3.854661046,1.358040148
5,pass,p1,329,3.228987175,2.731761702,3.905070731,1.460384343
4.5,pass,p1,558,3.174294048,2.577690354,3.952364698,1.451718504
3.5,pass,p1,283,3.212604654,2.692079691,3.995779827,1.475506052
4,pass,p1,404,3.23181817,2.596837683,3.919713698,1.574512566
4.5,pass,p1,339,3.212888757,2.673572405,3.868528244,1.449535315
5,pass,p1,449,3.212703148,2.628365853,4.011823882,1.497859757
4.5,pass,p1,323,3.277172156,2.812727724,3.780822938,1.496580432
4,pass,p1,320,3.268443082,2.837354349,3.805043043,1.424375967
4.5,pass,p1,327,3.156983891,2.746882013,3.681799581,1.380314931
5,pass,p1,501,3.21869323,2.68502322,3.825972896,1.448184094
4.5,pass,p1,365,3.285985779,2.825663351,3.809800956,1.426162812
4.5,pass,p1,298,3.288983362,2.905257229,3.719304811,1.514151241
5,pass,p1,364,3.203391512,2.639582136,4.026553201,1.498369015
4.5,pass,p1,265,3.248161818,2.70881847,4.070526922,1.485169102
4.5,pass,p1,333,3.249847457,2.725015165,3.927164808,1.450384155
3.5,pass,p1,398,3.212184864,2.654257041,3.946300421,1.371937714
3,fail,p1,466,3.229066594,2.719079536,3.831100096,1.521820394
3,fail,p1,239,3.165337738,2.578032808,3.910763227,1.480776463
2,fail,p1,143,3.260426325,2.830892627,3.742024714,1.493114568
2.5,fail,p1,253,3.270883211,2.859219976,3.753117286,1.545624146
2.5,fail,p1,359,3.403459055,2.709744412,4.156393239,1.608776759
3,fail,p1,304,3.221513313,2.744893515,3.75183675,1.406749274
4,pass,p1,455,3.147277777,2.705466351,3.709583229,1.294152062
3,fail,p1,357,3.212306388,2.721585118,3.884903374,1.389813595
2.5,fail,p1,203,3.24369191,2.731825039,3.970416479,1.471646897
3.5,pass,p1,375,3.336041037,2.74198607,3.953327204,1.555735653
3,fail,p1,306,3.374407976,2.885932177,3.8528466,1.504951521
2,fail,p1,311,3.16571416,2.669916864,3.789216821,1.360814773
3,fail,p1,293,3.229004485,2.750584854,3.881394892,1.359442522
3,fail,p1,324,3.143761324,2.571712468,3.972556516,1.42091217
3,fail,p1,334,3.286996971,2.774818604,3.851041501,1.376695477
3,fail,p1,296,3.334932209,2.786231942,3.957338482,1.500645024
4,pass,p1,331,3.245030462,2.744859797,3.917921933,1.523599612
3,fail,p1,311,3.253681658,2.731328431,3.844481169,1.404763333
2,fail,p1,206,3.243171955,2.663913627,3.81180169,1.34327346
2.5,fail,p1,207,3.258731563,2.842658485,3.72999801,1.496331523
3.5,pass,p1,329,3.225414969,2.728365002,3.877793051,1.551015079
4,pass,p1,342,3.189659713,2.58301406,3.912813471,1.576575326
3.5,pass,p1,291,3.176508673,2.55369578,4.003522514,1.571807296
2.5,fail,p1,268,3.199231999,2.613595932,3.895664079,1.324584658
3.5,pass,p1,363,3.254043259,2.695129252,4.020236632,1.608548453
3.5,pass,p1,337,3.237136527,2.789263289,3.796226609,1.556683329
2.5,fail,p1,190,3.215329575,2.776685708,3.762280571,1.318088148
4.5,pass,p1,378,3.126678383,2.579594643,3.843097568,1.371587855
3.5,pass,p1,252,3.316778237,2.867404953,3.872367024,1.566114516
4.5,pass,p1,519,3.198717253,2.626726973,3.952821029,1.460890636
3,fail,p1,433,3.265462687,2.674424158,3.932953962,1.550837913
3,fail,p1,333,3.214874546,2.74434068,3.866651086,1.478093943
2.5,fail,p1,308,3.249451495,2.724252659,3.796686647,1.469346569
3,fail,p1,203,3.134942996,2.511069716,3.824487148,1.384965506
3.5,pass,p1,330,3.310373383,2.816801526,3.828936219,1.429075578
3.5,pass,p1,325,3.274569414,2.694365071,4.00702596,1.573227549
3,fail,p1,374,3.246927317,2.734545962,3.851656475,1.404432233
4.5,pass,p1,404,3.142062226,2.518376766,3.914739214,1.460409067
5,pass,p1,362,3.211432327,2.671474274,3.856748049,1.410683924
3,fail,p1,333,3.220955414,2.654598535,4.148136435,1.605121121
4.5,pass,p1,369,3.133375179,2.524278098,3.870127337,1.398247784
5,pass,p1,386,3.220698094,2.757905864,3.721014018,1.469381614
2.5,fail,p1,404,3.212791526,2.716422491,3.845071131,1.334103752
3.5,pass,p1,349,3.212535756,2.704542635,3.847527158,1.482428722
3,fail,p1,256,3.220370859,2.683329845,3.939803162,1.446862882
3,fail,p1,297,3.238027587,2.815343087,3.823022935,1.498811261
2.5,fail,p1,376,3.322154767,2.723632695,3.943571126,1.402348494
3.5,pass,p1,337,3.235849099,2.805196198,3.745048757,1.410312921
3.5,pass,p1,379,3.297373851,2.791745698,3.797414952,1.528962802
4,pass,p1,364,3.258749481,2.780820703,3.81394818,1.542815526
