Participant,Group,Frequency,Academic_Language
S_101,B,0.136546185,0.02811245
S_43,A,0.021834061,0.074235808
S_32,B,0.142222222,0.017777778
S_149,A,0.0390625,0.0546875
S_55,A,0.051282051,0.05982906
S_37,B,0.120772947,0.038647343
S_94,B,0.114155251,0.01826484
S_120,A,0.025862069,0.064655172
S_9,B,0.120192308,0.028846154
S_90,A,0.087962963,0.064814815
S_13,B,0.136,0.016
S_22,B,0.132075472,0.009433962
S_61,A,0.050925926,0.050925926
S_89,A,0.043478261,0.04743083
S_125,B,0.163716814,0.004424779
S_126,B,0.165876777,0.028436019
S_117,B,0.136585366,0.009756098
S_69,B,0.136150235,0.014084507
S_153,B,0.157068063,0
S_76,A,0.065843621,0.069958848
S_191,A,0.038610039,0.061776062
S_25,B,0.105,0.015
S_16,B,0.158730159,0.007936508
S_190,A,0.03539823,0.061946903
S_202,B,0.126582278,0.037974684
S_114,A,0.054474708,0.06614786
S_172,A,0.028708134,0.062200957
S_44,B,0.155797101,0.036231884
S_245,A,0.024390244,0.048780488
S_138,A,0.046610169,0.055084746
S_17,A,0.035714286,0.047619048
S_142,B,0.179104478,0.004975124
S_212,A,0.014018692,0.046728972
S_35,B,0.110655738,0.016393443
S_161,A,0.057017544,0.065789474
S_201,B,0.139175258,0.010309278
S_81,A,0.03630363,0.04620462
S_239,B,0.123853211,0.018348624
S_1,A,0.044117647,0.058823529
S_146,B,0.173515982,0.03196347
S_153,A,0.026431718,0.057268722
S_28,B,0.161403509,0.01754386
S_175,A,0.044534413,0.04048583
S_36,A,0.051886792,0.056603774
S_214,B,0.139037433,0.021390374
S_216,A,0.037433155,0.053475936
S_78,B,0.136929461,0.024896266
S_79,B,0.118243243,0.047297297
S_72,B,0.115740741,0.037037037
S_240,B,0.108490566,0.028301887
S_50,B,0.123762376,0.014851485
S_122,A,0.057416268,0.043062201
S_65,B,0.144278607,0.014925373
S_188,A,0.041860465,0.074418605
S_100,B,0.118773946,0.011494253
S_35,A,0.030701754,0.048245614
S_99,B,0.078703704,0.00462963
S_147,B,0.118226601,0.039408867
S_20,A,0.043478261,0.052173913
S_193,A,0.030837004,0.088105727
S_169,B,0.155251142,0.01369863
S_135,A,0.054607509,0.044368601
S_132,A,0.023923445,0.071770335
S_34,B,0.128078818,0.039408867
S_73,A,0.041322314,0.08677686
S_241,A,0.029126214,0.038834951
S_25,A,0.026548673,0.030973451
S_124,B,0.131868132,0.014652015
S_248,A,0.030534351,0.083969466
S_159,B,0.133333333,0.013333333
S_243,B,0.125603865,0.014492754
S_163,B,0.132478632,0.02991453
S_242,B,0.126984127,0.027777778
S_42,B,0.139130435,0.043478261
S_176,A,0.03125,0.026785714
S_120,B,0.126086957,0.052173913
S_182,B,0.154545455,0.004545455
S_166,B,0.133333333,0.026666667
S_174,A,0.043824701,0.067729084
S_218,B,0.121827411,0.025380711
S_221,A,0.033783784,0.074324324
S_21,A,0.05,0.054545455
S_48,A,0.046413502,0.063291139
S_196,B,0.127118644,0.06779661
S_87,B,0.114832536,0.004784689
S_196,A,0.017667845,0.049469965
S_151,A,0.041284404,0.091743119
S_123,B,0.159624413,0.023474178
S_234,A,0.024169184,0.075528701
S_170,A,0.024038462,0.038461538
S_136,B,0.174528302,0.028301887
S_37,A,0.045045045,0.054054054
S_226,A,0.035087719,0.058479532
S_168,B,0.146341463,0.028455285
S_162,B,0.124463519,0.004291845
S_164,A,0.018939394,0.034090909
S_167,A,0.038461538,0.021367521
S_111,A,0.033472803,0.046025105
S_107,A,0.029535865,0.063291139
S_143,B,0.155251142,0.00456621
S_139,B,0.147465438,0.013824885
S_194,A,0.044609665,0.037174721
S_113,B,0.148648649,0.022522523
S_59,B,0.12195122,0.019512195
S_208,A,0.03125,0.046875
S_200,A,0.052434457,0.041198502
S_224,B,0.131455399,0.009389671
S_230,A,0.051948052,0.073593074
S_99,A,0.041474654,0.073732719
S_30,A,0.04845815,0.070484581
S_139,A,0.034825871,0.064676617
S_198,A,0.037209302,0.060465116
S_218,A,0.054545455,0.054545455
S_23,B,0.138755981,0.028708134
S_44,A,0.039087948,0.061889251
S_47,B,0.182320442,0.038674033
S_87,A,0.028985507,0.072463768
S_88,A,0.048076923,0.0625
S_198,B,0.108695652,0.02173913
S_236,B,0.090517241,0.030172414
S_166,A,0.059288538,0.055335968
S_43,B,0.169811321,0.033018868
S_177,A,0.043307087,0.07480315
S_128,B,0.121673004,0.011406844
S_40,A,0.059288538,0.059288538
S_228,B,0.098214286,0.029761905
S_63,B,0.138888889,0.023148148
S_20,B,0.142156863,0.019607843
S_226,B,0.134146341,0.032520325
S_175,B,0.138613861,0.024752475
S_109,B,0.134259259,0.032407407
S_183,B,0.178571429,0.004464286
S_244,A,0.049751244,0.039800995
S_3,A,0.029166667,0.0375
S_97,B,0.107296137,0.012875536
S_118,A,0.027149321,0.07239819
S_97,A,0.027586207,0.062068966
S_49,A,0.022321429,0.049107143
S_11,A,0.013953488,0.079069767
S_235,B,0.10546875,0.00390625
S_122,B,0.12605042,0.016806723
S_1,B,0.136986301,0.02739726
S_58,A,0.038647343,0.028985507
S_246,A,0.021097046,0.050632911
