Prompt,Score,Nwords,Frequency
A,1,64,3.236761766
A,3,348,3.114916671
A,2.5,243,3.362191939
A,3,266,3.289382572
A,3,291,3.262984905
A,2,253,3.297023743
A,2,330,3.237039689
A,2,340,3.325238039
A,2.5,224,2.963205704
A,3,340,3.345066215
A,2.5,246,3.259055937
A,2,200,3.356857532
A,2.5,285,3.214981863
A,2.5,224,3.095060697
A,3,344,3.321585988
A,2.5,252,3.164025028
A,2.5,236,3.254692469
A,3,350,3.303758426
A,2,206,3.15569561
A,3,317,3.229173387
A,1.5,61,3.30821408
A,2.5,202,3.148350526
A,3,301,3.316203405
A,2,263,3.339430646
A,3,394,3.176476565
A,3,329,3.284173175
A,1.5,244,3.291458341
A,2.5,354,3.182092216
A,2.5,223,3.323864844
A,3,297,3.219091526
A,2,304,3.293812458
A,2,182,3.214605947
A,1.5,151,3.318069053
A,2,156,3.369686528
A,2.5,445,3.19532283
A,2,179,3.264497572
A,3.5,288,3.238037534
A,4,351,3.424020639
A,2.5,326,3.230424163
A,2.5,258,3.342900077
A,2,349,3.278406939
A,2.5,187,3.20805234
A,2,188,3.202798671
A,2.5,302,3.275056
A,2.5,321,3.093063784
A,3,248,3.091464512
A,3,278,3.282550157
A,2,179,3.226710224
A,3,272,3.097564611
A,3.5,390,3.275649711
A,3,320,3.262955146
A,3,226,3.150827537
A,3.5,292,3.171093165
A,5,379,3.324958217
A,3.5,351,3.188268179
A,4,306,3.161132066
A,2,173,3.259301051
A,2,123,3.20049273
A,3,339,3.223486752
A,3,296,3.30621694
A,3,311,3.298625185
A,3,324,3.318969034
A,3,298,3.368666857
A,3,335,3.215196384
A,3,309,3.339056352
A,3,348,3.253673442
A,2.5,197,3.145232128
A,3,328,3.250219203
A,4.5,325,3.20584401
A,3.5,351,3.282937274
A,3,217,3.301904988
A,3,313,3.191758094
A,3,309,3.106667923
A,3.5,318,3.450407343
A,3,297,3.235234921
A,2.5,358,3.30625729
A,3,347,3.211265374
A,3,308,3.175285401
A,2.5,208,3.080710408
A,3.5,282,3.197042719
A,3.5,345,3.331410667
A,3,292,3.226955979
A,3,297,3.249592044
A,3,325,3.319920754
A,2.5,262,3.295188777
A,3,316,3.125665289
A,3.5,347,3.266834614
A,4,404,3.265420921
A,3.5,358,3.167480752
A,2.5,293,3.261044897
A,3.5,317,3.233883578
A,3,323,3.220163137
A,3,316,3.241990151
A,3,306,3.299711649
A,3,310,3.283049812
A,3,325,3.237052864
A,2.5,284,3.279238267
A,3,321,3.278143889
A,3,309,3.211159056
A,3.5,402,3.174462249
A,4,333,3.304339126
A,3.5,302,3.190090753
A,3.5,205,3.1766223
A,4.5,433,3.201878148
A,3,319,3.278783463
A,3,254,3.267886513
A,4.5,322,3.332664292
A,3.5,411,3.346353393
A,4,300,3.3634309
A,4,333,3.159762991
A,4.5,384,3.189936727
A,4,519,3.231589121
A,4.5,317,3.240738618
A,4,463,3.308569743
A,4,411,3.308540932
A,3,331,3.26705963
A,4.5,424,3.161306724
A,4,368,3.314190018
A,3.5,460,3.239323948
A,3,245,3.371241435
A,3.5,332,3.247769288
A,4,334,3.27251814
A,3.5,309,3.266057109
A,3.5,307,3.243207606
A,4,254,3.110459355
A,3.5,432,3.284453448
A,4,382,3.164721247
A,4,385,3.116715753
A,3.5,357,3.136565849
A,4,339,3.293517396
A,3.5,330,3.090875915
A,4,288,3.241791205
A,3.5,410,3.104017304
A,4.5,392,3.172828382
A,4,548,3.236642136
A,3.5,339,3.258523485
A,4,316,3.093792953
A,3,270,3.285541185
A,3.5,296,3.203880418
A,3.5,353,3.294243742
A,3.5,327,3.243689575
A,4,377,3.15973179
A,4,398,3.284469362
A,4,378,3.214097091
A,4,256,3.265129541
A,4.5,343,3.225592586
A,4.5,302,3.178771113
A,5,502,3.166329171
A,4.5,366,3.188119851
A,5,437,3.221381742
A,4,311,3.155571937
A,4,293,3.141605055
A,4,401,3.238238211
A,4,304,3.122578219
A,4.5,446,3.216666514
A,4.5,552,3.281251638
A,4.5,376,3.254032102
A,4.5,415,3.11518891
A,5,374,3.249501621
A,5,417,3.217264814
A,4.5,369,3.359650243
A,4.5,451,3.226717793
A,4.5,388,3.298418651
A,4.5,438,3.26078766
A,4.5,422,3.156136873
A,4.5,334,3.133023426
A,4.5,405,3.182613663
A,5,444,3.198540307
A,4.5,337,3.319961637
A,5,483,3.163125376
A,5,329,3.228987175
A,4.5,558,3.174294048
A,3.5,283,3.212604654
A,4,404,3.23181817
A,4.5,339,3.212888757
A,5,449,3.212703148
A,4.5,323,3.277172156
A,4,320,3.268443082
A,4.5,327,3.156983891
A,5,501,3.21869323
A,4.5,365,3.285985779
A,4.5,298,3.288983362
A,5,364,3.203391512
A,4.5,265,3.248161818
A,4.5,333,3.249847457
A,3.5,398,3.212184864
A,3,466,3.229066594
A,3,239,3.165337738
A,2,143,3.260426325
A,2.5,253,3.270883211
A,2.5,359,3.403459055
A,3,304,3.221513313
A,4,455,3.147277777
A,3,357,3.212306388
A,2.5,203,3.24369191
A,3.5,375,3.336041037
A,3,306,3.374407976
A,2,311,3.16571416
A,3,293,3.229004485
A,3,324,3.143761324
A,3,334,3.286996971
A,3,296,3.334932209
A,4,331,3.245030462
A,3,311,3.253681658
A,2,206,3.243171955
A,2.5,207,3.258731563
A,3.5,329,3.225414969
A,4,342,3.189659713
A,3.5,291,3.176508673
A,2.5,268,3.199231999
A,3.5,363,3.254043259
A,3.5,337,3.237136527
A,2.5,190,3.215329575
A,4.5,378,3.126678383
A,3.5,252,3.316778237
A,4.5,519,3.198717253
A,3,433,3.265462687
A,3,333,3.214874546
A,2.5,308,3.249451495
A,3,203,3.134942996
A,3.5,330,3.310373383
A,3.5,325,3.274569414
A,3,374,3.246927317
A,4.5,404,3.142062226
A,5,362,3.211432327
A,3,333,3.220955414
A,4.5,369,3.133375179
A,5,386,3.220698094
A,2.5,404,3.212791526
A,3.5,349,3.212535756
A,3,256,3.220370859
A,3,297,3.238027587
A,2.5,376,3.322154767
A,3.5,337,3.235849099
A,3.5,379,3.297373851
A,4,364,3.258749481
A,2.5,268,3.116243868
A,4.5,310,3.260209145
A,3,338,3.297026287
A,5,416,3.153190123
B,2.5,209,3.25868293
B,3,241,3.184102231
B,2.5,274,3.191217862
B,2,140,3.152359171
B,2.5,162,3.22495014
B,2.5,332,3.239381821
B,2.5,268,3.346320069
B,1.5,301,3.399700451
B,2.5,217,3.237837659
B,2.5,201,3.428696831
B,3,323,3.28671901
B,2.5,328,3.197218111
B,2,330,3.255566391
B,2.5,321,3.298936193
B,2,136,3.21255265
B,2.5,188,3.169269263
B,1,86,3.35439991
B,3,318,3.246629513
B,2,270,3.252586288
B,3,345,3.230363729
B,2.5,347,3.17648389
B,3.5,355,3.308426434
B,3,263,3.287965593
B,2.5,299,3.31497403
B,3,310,3.191419766
B,2.5,248,3.168718021
B,2,296,3.303189494
B,2,300,3.334192176
B,3,256,3.324403564
B,2,164,3.150932695
B,2,171,3.240753583
B,3,244,3.215799238
B,2,273,3.163918908
B,3,262,3.384725186
B,2,291,3.247757307
B,2.5,178,3.223916822
B,2.5,229,3.383717011
B,1.5,214,3.177271277
B,2,223,3.220088044
B,3,282,3.184643347
B,3,280,3.298239616
B,3,352,3.25914055
B,3,338,3.223865454
B,2.5,323,3.189434643
B,3,322,3.216232891
B,2.5,235,3.247168682
B,2,199,3.232492182
B,3,330,3.489014189
B,2.5,237,3.308396826
B,3.5,349,3.397858924
B,3.5,263,3.185986922
B,3,286,3.293440536
B,3,326,3.281092012
B,3,242,3.199997082
B,2.5,283,3.314251133
B,3,316,3.247532279
B,3,303,3.187446863
B,4,333,3.264348438
B,3,272,3.296360534
B,3,274,3.129687512
B,3,290,3.33660095
B,2.5,222,3.188499734
B,3,308,3.277577165
B,3,233,3.244872294
B,3,263,3.340023435
B,3,310,3.251297581
B,3.5,299,3.160252579
B,3,240,3.207642252
B,2,346,3.179011488
B,3.5,300,3.291806763
B,3,239,3.223900203
B,3,217,3.285366083
B,3,190,3.260579845
B,4,356,3.090645968
B,3,195,3.220392447
B,3.5,325,3.319096635
B,4.5,377,3.279134424
B,3,328,3.241697281
B,3.5,356,3.083482404
B,3.5,241,3.18671232
B,4.5,322,3.311783198
B,3.5,283,3.029130846
B,3,224,3.285760187
B,3.5,390,3.284649237
B,3.5,463,3.207284049
B,3.5,294,3.251593575
B,3.5,295,3.129802941
B,3.5,306,3.104270812
B,3,257,3.31535458
B,3.5,358,3.25089829
B,3.5,324,3.295711159
B,3.5,254,3.258083876
B,3,265,3.30183721
B,3.5,242,3.285613519
B,4,313,3.248759606
B,4,281,3.239153375
B,4,392,3.18094928
B,3.5,293,3.202441206
B,4,289,3.210230769
B,3.5,293,3.28261341
B,3.5,298,3.091432532
B,3.5,262,3.175302925
B,3.5,272,3.145027337
B,4.5,458,3.151110691
B,3,243,3.211650262
B,3,337,3.210185867
B,4,439,3.258457922
B,3.5,301,3.2248882
B,4,296,3.254364283
B,3.5,344,3.271016797
B,4,295,3.245438791
B,3.5,334,3.217232448
B,5,377,3.20580646
B,5,483,3.145165491
B,5,371,3.271640991
B,4.5,388,3.20113862
B,5,367,3.062161267
B,4,321,3.152533677
B,4.5,261,3.237484103
B,4.5,441,3.222105365
B,5,429,3.155229404
B,4,361,3.336394546
B,4,323,3.127069158
B,5,586,3.12896928
B,4,293,3.210562382
B,5,354,3.290679732
B,4,356,3.294195655
B,4,305,3.209592505
B,5,400,3.153310601
B,4,311,3.284971611
