Score,acad_av_delta_p_verb_out_type,acad_av_lemma_construction_freq_type,acad_av_construction_freq_log,DC_C,MLC,CN_C
1,0.020741,56397.54546,4.895188,0.461538,5.769231,0.230769
3,0.010989,8130.733333,4.039699,0.441176,11.5,1.176471
2.5,0.009918,22612,3.839299,0.428571,18.571429,3.142857
3,0.01966,12400.5,4.265683,0.583333,8.194444,0.5
3,0.025905,16554.65625,4.220219,0.510204,6.653061,0.77551
2,0.007544,13628.83333,4.036642,0.564103,6.974359,0.641026
2,0.001952,11091.5625,4.271262,0.34375,11.25,1.15625
2,0.015934,22546.12121,4.172037,0.472727,7.036364,0.545455
2.5,0.014566,37158.94444,4.487756,0.413793,8.310345,0.758621
3,0.008918,19397.33333,4.138885,0.491228,6.491228,0.54386
2.5,0.008199,18438.43333,4.116713,0.486486,7.486486,0.378378
2,0.018439,7008.55,4.160468,0.6,8.32,0.8
2.5,0.030018,13484.30303,4.190426,0.472222,8.583333,0.833333
2.5,0.025097,20701.86207,4.326734,0.4,7.428571,0.6
3,0.024228,22733.51724,4.220666,0.333333,8.690476,0.714286
2.5,-0.001108,24807.32,4.166782,0.541667,11.333333,1.375
2.5,0.011051,13735.32258,4.40783,0.413793,9.034483,0.758621
3,0.008978,14030.23529,4.104275,0.372093,9.023256,0.511628
2,0.020487,26022.75,4.383379,0.333333,7.181818,0.484848
3,0.024591,15639.23077,4.252656,0.464286,12.571429,1.285714
1.5,0.019531,50870.58333,4.094292,0.555556,7.555556,0.888889
2.5,0.017771,17929.85714,4.190137,0.346154,8.807692,0.769231
3,0.008375,18472.22222,4.123278,0.5,9.852941,0.794118
2,0.005499,24304.21739,3.952484,0.342105,7.552632,0.736842
3,0.011332,14166.3,4.172547,0.618182,7.909091,1
3,0.015446,17685.95455,4.048523,0.37037,7.166667,0.388889
1.5,0.020426,19581.34483,4.394142,0.424242,8.424242,0.575758
2.5,0.010206,17151.76923,3.993891,0.5,7.071429,0.482143
